ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
137,36,10,92.3,20142,1,3.6,2,0,0,0,0,0,0
138,41,15,117.4,58355,2,4.3,1,29,0,0,0,0,0
139,54,29,78.9,19866,1,2.8,1,0,0,0,1,0,0
140,31,6,94.5,80067,3,3.4,1,84,0,0,0,1,1
141,48,22,71.4,74027,4,3.1,1,0,0,0,0,1,0
142,59,36,122.0,67906,2,4.3,1,0,1,0,0,1,0
143,27,3,58.2,38138,4,2.6,2,0,1,0,0,1,1
144,47,23,138.4,39956,2,6.4,3,0,0,1,0,0,0
145,48,24,72.7,86295,4,3.1,2,106,0,0,0,1,0
146,54,29,44.7,15439,3,1.6,1,0,0,0,0,1,0
147,31,6,77.1,57241,3,2.3,1,0,1,0,0,1,0
148,30,7,58.1,52533,1,3.3,2,0,0,0,0,0,1
149,51,27,98.9,38270,4,3.3,1,0,0,0,0,1,0
150,48,24,58.6,88815,3,2.9,3,0,0,0,0,1,0
151,48,22,63.0,49279,2,2.9,2,285,0,0,0,1,0
152,49,24,38.0,33888,3,1.4,3,134,0,0,0,1,0
153,38,14,62.9,27630,2,2.4,1,0,0,0,0,0,1
154,48,25,31.6,71063,4,0.2,2,0,0,0,0,1,0
155,48,25,42.3,45144,1,1.9,1,0,0,0,0,0,0
156,37,13,96.2,62161,3,4.2,3,0,0,0,0,1,0
157,66,41,97.0,87360,2,3.2,2,0,0,0,0,1,0
158,50,27,85.5,60979,1,3.3,1,0,0,0,0,0,0
159,32,6,52.5,16979,1,2.1,1,0,0,0,0,1,1
160,52,29,72.5,36189,1,3.3,1,0,0,0,0,1,1
161,34,12,73.6,52600,2,2.9,2,0,1,0,0,0,1
162,54,32,49.1,69560,2,1.0,1,0,0,0,0,1,1
163,58,33,124.7,88040,3,4.7,2,0,1,0,0,0,0
164,36,12,100.2,71558,2,4.1,1,0,0,0,0,1,0
165,56,31,68.2,96205,2,3.2,2,27,0,0,0,1,1
166,50,25,74.4,16910,3,2.6,3,0,0,0,0,1,1
167,54,29,79.3,67713,1,4.5,3,0,0,0,0,1,1
168,66,41,36.1,56857,4,0.3,3,0,0,0,0,1,0
169,42,16,67.6,44964,4,2.4,1,63,0,0,0,1,0
170,37,11,58.1,95667,3,2.3,1,0,0,0,0,0,1
171,35,12,51.9,35227,3,2.0,2,0,0,0,0,1,1
172,36,14,66.8,15978,4,1.9,1,0,0,0,0,1,1
173,44,19,138.3,97527,1,5.8,2,136,0,0,0,0,0
174,49,26,92.2,27153,1,3.9,1,167,0,0,0,1,0
175,48,26,60.3,69765,1,2.4,1,0,0,0,0,1,0
176,54,30,90.1,49071,3,3.8,1,373,0,1,0,1,1
177,45,19,120.3,79519,1,4.6,3,64,0,0,0,0,0
178,61,39,101.9,19503,3,3.1,1,52,0,1,0,0,0
179,42,18,75.3,70703,4,2.6,2,0,0,0,0,0,1
180,67,45,58.8,74379,4,2.4,1,0,1,0,0,1,0
181,52,26,94.1,67866,2,3.9,2,0,0,0,0,0,1
182,36,10,84.6,26905,1,3.4,1,134,0,0,0,1,0
183,33,10,100.8,55838,4,4.4,3,0,1,0,0,0,1
184,50,25,92.0,68279,3,3.3,3,0,0,0,0,1,0
185,43,21,106.4,99489,1,4.3,1,0,0,0,0,0,1
186,53,31,61.1,36806,1,2.8,3,171,0,0,0,1,1
187,50,26,116.9,55000,4,4.6,3,75,0,0,0,0,0
188,44,18,79.0,32168,3,2.4,3,0,0,0,0,1,0
189,36,14,152.4,80119,3,5.5,3,181,0,0,0,0,0
190,28,2,57.9,48714,4,2.8,1,0,0,0,0,1,0
191,40,18,135.3,64093,3,6.2,2,118,1,1,0,1,1
192,54,31,79.0,65419,2,3.9,1,0,0,0,0,0,0
193,47,22,58.7,59145,2,2.5,1,0,0,1,0,1,0
194,31,9,62.2,87425,2,1.8,3,83,0,0,0,1,0
195,47,21,65.9,87811,2,2.6,1,0,0,0,0,0,1
196,49,26,85.5,12461,3,4.4,3,58,0,0,0,1,1
197,35,13,88.5,24291,3,3.9,3,0,1,0,0,0,0
198,47,23,60.3,56804,4,2.3,3,0,0,0,0,1,0
199,46,21,73.1,86971,2,3.3,3,0,0,0,0,1,0
200,32,10,156.0,74946,3,5.5,1,0,0,0,0,0,0
201,49,26,134.9,94080,3,5.0,1,0,1,0,0,1,0
202,51,27,85.9,71332,3,2.8,1,0,0,0,0,1,0
203,57,34,74.7,87794,3,3.3,1,0,0,0,0,1,0
204,57,34,76.9,40841,1,3.5,1,0,0,0,0,1,0
205,30,6,91.4,58758,2,3.6,1,197,0,0,0,1,0
206,35,12,51.5,86272,1,1.5,3,55,0,0,1,1,0
207,51,27,67.4,47643,2,2.7,2,0,0,0,0,0,0
208,51,29,41.1,60408,2,1.4,1,77,0,0,0,1,1
209,51,27,84.8,53950,3,2.9,2,0,1,0,0,1,1
210,67,43,92.4,66849,4,3.9,1,0,0,0,0,1,0
211,51,26,62.2,38044,3,2.0,1,55,0,0,0,1,0
212,57,33,127.9,25997,3,4.2,3,113,0,0,0,1,1
213,55,31,48.0,89751,2,1.1,2,0,0,0,0,1,1
214,52,30,44.1,33911,3,0.8,3,50,0,1,0,1,0
215,42,17,79.7,65533,1,3.3,1,0,0,1,1,0,0
216,53,27,106.3,92566,2,4.3,3,118,0,0,0,1,0
217,36,14,132.9,24571,2,5.4,2,0,0,0,0,1,0
218,42,20,62.8,67941,2,2.9,2,0,0,0,0,0,0
219,40,14,107.5,68005,1,5.0,2,0,0,0,0,1,0
220,46,22,72.7,96250,1,2.6,3,0,1,0,0,1,0
221,67,44,69.4,68712,2,3.0,2,0,0,0,0,0,0
222,24,0,100.4,53541,4,3.1,2,242,1,1,0,0,0
223,53,30,92.6,33387,2,4.5,3,0,1,0,1,0,0
224,27,1,42.4,58908,2,0.9,3,0,0,0,1,1,0
225,40,18,123.6,95457,1,4.5,2,0,0,0,0,0,0
226,57,35,119.5,23057,3,4.4,2,0,0,0,0,0,0
227,46,21,59.2,74028,2,1.5,1,0,0,0,0,1,1
228,33,11,84.7,65731,1,3.4,1,0,0,1,0,0,0
229,37,15,87.6,34858,2,3.6,2,0,0,0,0,0,1
230,52,27,80.7,58689,1,3.1,3,0,0,0,0,0,1
231,37,12,60.8,54638,1,1.5,3,0,0,0,1,1,0
232,47,21,58.3,56486,1,3.5,1,106,0,0,0,1,0
233,46,24,73.0,30567,1,3.2,2,99,0,0,0,0,0
234,38,16,111.1,39739,1,6.0,1,0,0,0,0,1,1
235,67,41,89.1,67804,2,3.1,3,0,0,0,0,1,1
236,52,28,64.7,13754,3,3.2,3,0,0,0,0,0,1
237,23,0,96.6,37044,3,4.3,2,0,0,0,0,0,0
238,47,23,27.2,77260,2,0.9,3,0,0,0,0,0,0
239,38,12,110.2,76912,2,5.3,2,0,1,0,0,1,0
240,54,32,40.1,18706,4,1.4,2,0,0,0,0,1,0
241,36,10,64.9,18894,2,2.4,1,0,0,0,0,0,0
242,44,18,49.8,28037,1,0.0,2,0,0,0,0,1,0
243,51,27,46.8,93986,3,2.1,2,133,0,0,0,0,1
244,55,32,110.6,91942,1,3.6,2,28,1,0,0,1,0
245,32,10,62.6,61612,2,2.2,1,0,0,0,0,1,0
246,41,17,83.2,39725,2,2.7,3,0,0,0,0,0,0
247,40,17,72.5,15926,4,2.7,1,159,1,0,1,1,1
248,38,15,87.1,19496,2,3.8,2,109,0,0,0,0,1
249,64,39,75.7,66447,3,3.0,2,0,0,0,0,1,0
250,49,27,47.0,39806,4,2.3,2,0,0,0,0,0,0
251,31,8,104.4,98199,1,4.9,2,0,1,0,0,1,0
252,55,31,62.0,51321,2,2.3,1,0,0,0,0,0,1
253,67,42,42.7,75095,2,1.4,1,0,0,0,0,1,0
254,56,34,63.4,32656,2,3.1,2,0,1,0,0,0,0
255,28,2,124.6,65147,2,5.6,2,0,1,0,0,1,0
256,40,16,99.2,59666,4,4.4,1,0,0,0,0,0,0
257,59,36,65.2,92368,3,2.0,2,73,0,0,0,1,1
258,37,14,65.2,48787,3,2.9,2,0,0,0,0,0,0
259,50,26,65.9,72946,2,2.7,2,0,1,0,0,0,0
260,54,31,152.5,31727,3,6.7,3,0,1,0,0,1,0
261,35,10,84.2,78056,4,3.0,1,0,0,0,0,0,0
262,44,22,85.7,13081,3,2.4,1,252,0,0,0,0,1
263,23,0,105.7,44196,1,4.6,3,0,0,1,0,1,0
264,34,11,80.1,46735,3,1.7,2,0,0,1,0,1,1
265,42,16,67.3,90102,1,2.3,2,47,0,0,0,0,1
266,31,9,68.8,89578,2,2.1,3,0,0,0,0,1,0
267,63,41,71.9,35498,1,2.3,3,69,0,0,0,1,0
268,29,5,72.7,86865,3,2.5,3,0,0,0,0,0,0
269,40,16,95.1,41656,3,4.5,2,0,0,0,0,1,1
270,46,20,75.1,77695,1,3.5,2,0,0,0,0,1,0
271,61,39,95.2,47900,2,3.7,1,0,1,0,0,1,0
272,29,3,71.6,94899,2,3.5,1,164,0,0,0,0,0
273,58,34,75.8,57701,2,2.4,2,258,0,0,0,1,1
274,45,21,36.6,29033,1,0.7,1,0,0,0,0,0,0
275,34,12,101.6,20805,2,4.6,3,0,1,1,0,0,0
276,50,25,83.2,45851,3,3.7,2,110,0,0,0,0,0
277,47,24,104.5,36832,1,3.9,2,138,0,0,0,1,0
278,38,14,26.7,73437,1,0.4,1,0,0,1,0,1,1
279,46,22,153.1,23944,2,7.0,1,0,1,0,0,1,0
280,41,16,70.2,29873,4,1.8,1,0,1,0,0,1,1
281,46,21,108.6,50372,3,4.0,2,78,1,0,0,0,0
282,52,26,51.2,99464,3,2.2,1,0,0,0,0,0,0
283,62,36,91.3,25379,2,4.7,2,0,0,0,0,0,0
284,31,8,51.0,46751,3,2.3,3,177,0,0,0,0,0
285,67,44,59.2,99822,1,2.7,3,0,0,0,0,1,0
286,24,2,144.0,15110,3,5.4,2,0,0,0,0,1,0
287,43,17,68.9,64341,4,3.1,1,0,0,0,0,0,0
288,51,27,79.5,22087,3,3.2,3,0,0,1,0,0,0
289,48,22,99.9,33762,4,3.0,3,0,0,0,0,0,0
290,38,14,87.7,92617,3,4.0,1,0,0,0,0,1,1
291,43,18,77.7,19596,1,3.7,3,0,0,0,0,1,0
292,40,14,83.7,28313,4,3.8,1,0,0,0,0,1,0
293,39,14,170.9,76549,1,6.9,3,164,1,1,0,1,0
294,54,31,72.2,33705,2,2.3,3,70,0,0,0,1,1
295,49,26,79.1,77364,1,1.8,1,0,0,0,0,0,1
296,37,15,106.5,83445,1,4.4,3,0,0,0,0,0,0
297,55,29,108.5,88645,2,5.0,2,0,0,0,0,1,1
298,48,23,111.7,12023,2,5.1,3,0,0,0,0,1,0
299,54,30,92.2,69796,2,4.2,2,0,0,0,0,0,0
300,52,29,49.4,90073,3,1.9,3,0,0,0,0,1,1
301,36,13,130.5,74429,1,5.9,1,0,1,0,0,1,1
302,39,15,49.3,71627,1,2.5,1,0,0,0,0,1,0
303,53,28,81.9,43848,3,3.0,1,0,0,0,0,1,1
304,52,27,56.6,47804,2,2.7,3,0,0,0,0,1,0
305,45,19,72.1,25379,3,2.6,3,0,1,0,0,1,1
306,46,20,82.7,69664,3,3.6,3,0,0,1,0,0,0
307,59,37,82.5,37766,4,2.5,3,0,0,0,0,0,0
308,38,15,85.4,78099,3,2.7,1,146,0,0,0,0,0
309,51,25,129.6,46060,2,5.8,1,77,0,0,0,0,0
310,43,18,86.4,79122,3,4.0,1,0,0,0,0,1,0
311,43,19,67.7,26087,2,3.1,1,0,0,0,0,1,0
312,57,32,103.3,58868,2,4.2,1,0,0,0,1,0,0
313,54,31,111.8,33225,3,3.0,2,0,0,0,0,1,0
314,54,29,48.0,16643,2,1.9,1,0,0,0,0,0,0
315,59,37,90.8,46727,3,3.9,1,195,0,0,0,0,0
316,45,22,94.2,21005,3,3.4,1,0,0,0,0,0,0
317,53,29,66.4,75697,4,2.2,1,47,0,0,0,0,1
318,42,20,119.3,26029,4,5.6,3,0,0,0,0,0,1
319,49,26,69.9,24226,2,2.8,3,0,1,1,0,1,1
320,44,20,77.0,73646,2,3.4,3,69,0,0,0,1,0
321,46,24,69.4,70603,3,3.2,2,0,0,0,0,1,1
322,52,30,74.1,38731,2,2.4,1,0,0,0,0,0,0
323,36,13,50.2,78926,3,2.1,3,0,0,0,0,0,0
324,67,41,44.5,15997,3,2.6,1,0,0,0,0,0,0
325,34,12,128.8,65506,3,6.2,1,82,0,0,0,1,1
326,32,10,54.8,88229,2,2.2,1,0,0,0,0,0,0
327,58,34,52.1,59815,1,1.9,1,75,0,0,0,1,0
328,54,29,34.7,52092,2,1.5,1,123,0,0,1,1,0
329,52,29,58.9,72539,1,2.5,1,117,0,0,0,1,1
330,52,29,46.4,76077,4,2.7,2,0,0,0,0,1,0
331,45,19,130.9,31817,2,4.6,1,0,0,0,0,0,0
332,35,9,104.9,47861,1,4.0,1,184,0,0,0,0,0
333,46,23,57.9,23428,1,1.6,3,0,0,1,0,0,0
334,38,12,162.1,53934,3,5.9,1,0,1,0,0,1,0
335,56,32,103.9,20258,3,4.4,1,0,0,0,0,0,0
336,43,20,65.8,67775,2,3.1,3,0,0,0,0,0,1
337,36,10,30.7,91580,1,0.8,1,0,0,1,0,1,0
338,41,18,164.3,15469,2,7.0,1,0,1,0,0,0,0
339,50,25,45.3,38854,2,2.5,2,0,0,1,0,1,0
340,39,17,41.4,16256,3,2.8,1,118,0,0,0,1,0
341,36,13,105.4,86256,3,4.3,2,0,0,0,0,0,0
342,48,26,173.1,43937,2,6.5,3,147,1,1,0,0,0
343,48,22,119.6,11651,1,4.2,1,0,0,0,0,0,0
344,39,17,89.8,60288,4,2.9,2,80,0,0,0,1,1
345,40,17,90.8,94730,2,4.4,2,0,0,0,0,1,0
346,48,23,99.4,35051,3,3.1,1,69,0,0,0,1,0
347,29,3,96.1,37386,1,4.6,2,0,1,1,0,1,1
348,30,7,81.3,85054,2,2.7,1,177,0,0,0,1,0
349,37,11,76.4,26184,1,2.6,2,0,0,0,0,0,1
350,43,19,72.1,43787,2,2.8,1,83,0,0,0,0,0
351,48,26,56.6,31621,4,1.8,2,90,0,0,0,1,0
352,61,37,66.8,85564,2,3.2,1,0,0,0,1,0,1
353,54,31,40.8,87984,1,2.7,3,0,0,0,0,0,0
354,43,18,71.2,69792,1,2.5,1,168,0,0,0,1,0
355,45,19,52.1,55253,2,1.8,1,0,0,1,0,1,1
356,34,12,50.1,44051,1,1.9,2,84,0,0,0,1,0
357,45,19,78.5,59811,1,3.5,3,0,1,0,0,1,0
358,42,19,120.0,40447,3,4.7,2,0,0,1,0,0,0
359,49,23,101.6,93930,2,4.9,2,104,1,0,0,1,1
360,36,14,42.5,40254,2,2.4,3,0,0,0,0,0,1
361,51,28,52.1,94045,4,1.4,3,65,0,0,0,0,0
362,62,36,102.4,67418,1,4.4,1,0,0,0,0,1,0
363,44,19,52.3,24472,4,3.0,2,0,0,0,0,0,1
364,49,26,68.1,13471,2,2.4,3,0,0,1,0,1,0
365,53,30,89.3,18329,4,3.4,3,0,1,0,1,0,0
366,41,16,52.5,44865,3,1.8,3,0,0,0,0,1,1
367,47,23,76.5,56850,3,2.8,1,0,0,0,1,0,1
368,45,23,46.2,64220,4,0.8,1,0,0,0,0,1,1
369,46,22,59.7,16397,2,1.6,2,0,0,0,0,1,0
370,36,10,82.4,45525,4,3.3,3,201,0,0,0,0,0
371,45,20,42.2,63072,2,2.6,2,0,0,0,0,0,0
372,50,26,86.0,93820,2,3.1,2,0,0,0,0,0,0
373,61,38,73.2,94530,2,2.5,3,0,0,0,0,0,0
374,56,30,89.4,33284,2,4.6,1,0,0,0,0,1,1
375,67,41,79.7,71330,1,2.5,3,103,0,0,0,1,0
376,37,13,118.8,93369,3,3.8,1,0,1,0,0,0,1
377,55,31,77.0,35122,2,2.6,1,0,0,0,0,0,0
378,47,22,63.4,80553,3,2.1,2,0,0,0,0,0,0
379,67,45,76.9,91906,4,2.0,3,0,0,0,0,1,0
380,36,12,89.1,72812,2,3.5,1,69,0,0,0,0,0
381,36,12,75.0,17999,2,3.6,1,0,0,0,0,1,0
382,38,15,74.8,32436,2,2.2,3,86,0,0,0,1,1
383,23,0,57.6,52963,1,2.4,1,0,0,0,0,0,1
384,39,17,58.4,12096,1,2.6,2,0,1,0,0,1,0
385,37,14,45.1,35279,2,1.8,2,96,0,0,0,1,0
386,47,22,136.0,36201,2,5.6,2,0,1,0,0,1,1
387,49,24,47.7,29715,4,2.0,2,0,0,0,0,0,0
388,66,42,57.8,39309,3,1.8,1,0,0,0,0,0,0
389,55,31,57.3,25078,2,3.2,2,0,0,0,0,1,0
390,39,14,100.8,66614,3,4.8,1,0,0,0,0,1,1
391,35,11,66.5,15105,1,3.4,2,0,0,0,0,1,0
392,50,28,114.1,12839,2,5.2,1,0,0,0,0,1,0
393,30,6,58.2,78920,3,1.4,2,0,0,0,0,1,1
394,65,39,81.3,53619,2,3.8,1,0,0,1,0,1,0
395,58,34,55.0,52821,2,2.6,1,0,0,0,0,0,0
396,40,17,156.1,23493,4,5.3,1,0,1,0,0,1,0
397,26,4,48.6,27069,4,1.8,1,0,0,1,1,1,1
398,60,37,82.1,17531,3,3.5,3,238,0,0,0,1,0
399,44,21,92.0,47051,3,4.7,1,0,1,0,0,1,1
400,59,33,85.2,17736,3,3.8,3,82,0,0,0,0,0
401,27,5,69.1,17710,1,2.2,3,0,0,0,1,1,0
402,38,16,70.4,77155,2,3.8,2,0,1,0,1,1,1
403,45,23,74.8,23975,1,3.0,1,0,0,0,0,0,0
404,46,24,70.0,72424,2,2.6,1,0,0,0,0,1,0
405,40,18,103.3,55603,2,3.9,3,0,0,1,0,0,0
406,52,26,159.8,33252,1,5.4,1,0,1,0,0,0,0
407,33,9,60.6,90797,4,2.4,1,0,0,0,0,0,0
408,43,20,45.6,11431,4,2.1,2,227,0,0,0,1,0
409,46,24,71.5,84603,3,2.6,3,0,0,0,0,1,0
410,51,27,181.8,47481,2,7.5,3,0,1,0,0,1,1
411,53,29,55.6,19557,4,1.7,1,99,1,0,0,1,0
412,33,10,130.8,84971,1,5.1,2,0,0,0,0,1,1
413,28,2,132.6,10162,3,5.5,1,0,1,0,0,0,0
414,59,34,60.7,44742,1,2.5,1,0,0,0,0,0,0
415,49,24,89.9,29675,3,2.6,3,49,1,0,0,1,0
416,37,13,130.3,83997,2,4.9,1,81,0,0,1,0,0
417,62,39,64.5,27015,4,3.6,1,0,1,0,0,1,0
418,46,21,68.6,60057,4,2.4,1,0,0,1,0,1,1
419,58,34,60.1,42591,1,2.4,3,107,0,0,0,1,1
420,46,20,51.7,19833,2,2.0,3,0,0,0,0,1,1
